class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.11507401,0.07696456,-0.10924182,-0.11496285,0.07703585,-0.10912612,-0.11516602,0.077074304,-0.109263614,-0.11494588,0.0770366,-0.10916528
-0.1151371,0.07709188,-0.10920874,-0.11513211,0.0771326,-0.10920305,-0.11501306,0.07701838,-0.10914593,-0.115203165,0.07705844,-0.10926016
-0.1151675,0.07709034,-0.109236516,-0.114950344,0.07701756,-0.109154,-0.11510818,0.07711103,-0.10924624,-0.115240745,0.07713692,-0.10931545
-0.1151578,0.07706018,-0.10924338,-0.11496711,0.07707703,-0.10913732,-0.11523116,0.077014,-0.10929195,-0.11503624,0.07694803,-0.109231785
-0.115041435,0.0770548,-0.109196305,-0.115012,0.07695909,-0.10923098,-0.11495682,0.07703315,-0.109119356,-0.11504088,0.077127405,-0.1091529
-0.11521833,0.07709769,-0.10927324,-0.115110226,0.07702332,-0.10922538,-0.11522685,0.07705459,-0.10931727,-0.11498676,0.07702946,-0.10911504
-0.11513507,0.07710056,-0.10919357,-0.11508916,0.07692558,-0.10922362,-0.115025,0.076982684,-0.109216645,-0.11509465,0.077093765,-0.10925962
-0.11501693,0.077040926,-0.10922052,-0.115105,0.07701428,-0.10921032,-0.11516774,0.0771041,-0.10924078,-0.11514098,0.077095844,-0.109234035
-0.11503119,0.07704468,-0.10918811,-0.115129106,0.077139065,-0.10920588,-0.115137205,0.07700494,-0.109199055,-0.11519158,0.07709056,-0.10927564
-0.1152282,0.07707072,-0.10932068,-0.11514069,0.07712055,-0.10924021,-0.11512405,0.07716327,-0.10922692,-0.11496804,0.077124946,-0.10913752
-0.11502744,0.07701804,-0.10919234,-0.11506461,0.076929346,-0.109212376,-0.11508514,0.07703449,-0.10922632,-0.11497202,0.077072635,-0.10910956
-0.11521677,0.07707495,-0.10926682,-0.115032695,0.07706274,-0.10917136,-0.11520298,0.07703391,-0.109253496,-0.11515151,0.077144496,-0.109234184
-0.115042634,0.07701972,-0.10919297,-0.115148716,0.077103704,-0.10924195,-0.115175426,0.077056274,-0.10926416,-0.11511263,0.07707624,-0.10921569
-0.11502461,0.07703066,-0.10922713,-0.11515558,0.07711177,-0.10921703,-0.11497872,0.07707987,-0.10923216,-0.11494163,0.07712992,-0.10913037
-0.11511963,0.07710478,-0.1092275,-0.11502934,0.07705858,-0.109210595,-0.114998296,0.07712297,-0.10913586,-0.115160584,0.07710825,-0.109268874
-0.11516007,0.077082284,-0.10925785,-0.115057066,0.07695828,-0.10922487,-0.11499009,0.07705762,-0.1092483,-0.11501702,0.07714324,-0.10911074
-0.11506066,0.0769593,-0.1092462,-0.11500628,0.07702342,-0.10923183,-0.11514688,0.077088565,-0.10927518,-0.1151328,0.077114664,-0.1091931
-0.11508658,0.07693623,-0.10923866,-0.11522015,0.0770577,-0.10927039,-0.11507038,0.07698676,-0.109235995,-0.115143396,0.07712898,-0.10919876
-0.115092255,0.07714317,-0.109160826,-0.11494638,0.07707113,-0.10912204,-0.115231045,0.077016994,-0.109302536,-0.11513065,0.077141084,-0.1091979
-0.115020126,0.07703473,-0.10921988,-0.114975184,0.07705329,-0.10911617,-0.11514517,0.077131115,-0.10918199,-0.11507281,0.077045076,-0.1092063
-0.115138195,0.077084035,-0.10925791,-0.114962585,0.07698752,-0.10917357,-0.11497718,0.07701888,-0.10916845,-0.114943966,0.07705592,-0.109240636
-0.115008034,0.077148,-0.10913451,-0.11504035,0.076933324,-0.109218426,-0.11516014,0.077095315,-0.10921259,-0.115086466,0.077021025,-0.109209314
-0.11502797,0.076966494,-0.10923649,-0.11524171,0.0770488,-0.10930214,-0.114972755,0.07699358,-0.109184906,-0.11506278,0.07694572,-0.1092181
-0.11507814,0.07702717,-0.10921221,-0.11515766,0.07708885,-0.10925834,-0.114997,0.07702062,-0.10913739,-0.11522151,0.07704349,-0.10926241
-0.11521191,0.0770744,-0.10926201,-0.11495858,0.07710092,-0.109125145,-0.11517537,0.07706208,-0.109242626,-0.11495088,0.07701457,-0.109139055
-0.11508046,0.07696034,-0.10923669,-0.115137465,0.07712604,-0.10920366,-0.11509726,0.076865286,-0.10922269,-0.11515788,0.07704552,-0.10925262
-0.11515634,0.07702498,-0.10924292,-0.114942476,0.077062294,-0.109123714,-0.11504228,0.07704683,-0.10921103,-0.1150541,0.076920114,-0.109222606
